TIME | EVENT
1:39 | Student 110 arrives Priority: 1 Class choice: 2
1:39 | Student 110 started Processing from GS Queue Student's Priority is: 1
1:39 | Student 110 enrolled in class section 2 Student's Priority is: 1
1:40 | Student 126 arrives Priority: 2 Class choice: 1
1:40 | Student 107 started Processing from EE Queue Student's Priority is: 3
1:40 | Student 107 dropped from EE Queue Student's Priority is: 3
1:41 | Student 126 started Processing from RS Queue Student's Priority is: 2
1:41 | Student 126 dropped from RS Queue Student's Priority is: 2
1:43 | Student 173 arrives Priority: 1 Class choice: 2
1:43 | Student 173 started Processing from GS Queue Student's Priority is: 1
1:43 | Student 173 enrolled in class section 2 Student's Priority is: 1
1:43 | Student 101 started Processing from EE Queue Student's Priority is: 3
1:45 | Student 115 arrives Priority: 2 Class choice: 2
1:45 | Student 115 started Processing from RS Queue Student's Priority is: 2
1:45 | Student 131 arrives Priority: 3 Class choice: 1
1:46 | Student 145 arrives Priority: 2 Class choice: 1
1:47 | Student 157 arrives Priority: 1 Class choice: 3
1:47 | Student 157 started Processing from GS Queue Student's Priority is: 1
1:47 | Student 157 dropped from GS Queue Student's Priority is: 1
1:47 | Student 131 started Processing from EE Queue Student's Priority is: 3
1:47 | Student 131 dropped from EE Queue Student's Priority is: 3
1:48 | Student 145 started Processing from RS Queue Student's Priority is: 2
1:48 | Student 145 dropped from RS Queue Student's Priority is: 2
1:49 | Student 138 arrives Priority: 2 Class choice: 3
1:50 | Student 102 arrives Priority: 3 Class choice: 3
1:51 | Student 138 started Processing from RS Queue Student's Priority is: 2
1:51 | Student 138 dropped from RS Queue Student's Priority is: 2
1:52 | Student 119 arrives Priority: 2 Class choice: 1
1:52 | Student 102 started Processing from EE Queue Student's Priority is: 3
1:52 | Student 102 dropped from EE Queue Student's Priority is: 3
1:53 | Student 127 arrives Priority: 3 Class choice: 3
1:53 | Student 119 started Processing from RS Queue Student's Priority is: 2
1:53 | Student 119 dropped from RS Queue Student's Priority is: 2
1:55 | Student 127 started Processing from EE Queue Student's Priority is: 3
1:55 | Student 127 dropped from EE Queue Student's Priority is: 3
1:59 | Student 111 arrives Priority: 1 Class choice: 2
1:59 | Student 111 started Processing from GS Queue Student's Priority is: 1
1:59 | Student 111 enrolled in class section 2 Student's Priority is: 1

Total Processes completed: 75
Total GS Students: 24
Total RS Students: 31
Total EE Students: 20
field seats for Class #1 is 20
field seats for Class #2 is 20
field seats for Class #3 is 20

STUDENT ID | Decision | class section | Turn Around 
   154      |    1    |       3      |      2     
   125      |    1    |       2      |      2     
   136      |    1    |       2      |      2     
   112      |    1    |       1      |      1     
   172      |    1    |       1      |      1     
   161      |    1    |       1      |      2     
